Sl.No ,CODE,Dist. Name ,Boys Appeared,Girls Appeared,Total Appeared,Boys Passed,Girls Passed,Total Passed,Pass % (2012),District Position (2012),Pass % (2011),District Position (2011),District Position (2010)
1,GA,UDUPI,8013,8058,16071,6852,7537,14389,89.53,1,84.4,6,4
2,PA,SIRSI,4582,4633,9215,3955,4183,8138,88.31,2,85.3,4,9
3,LL,HASSAN,11783,11968,23751,9722,10685,20407,85.92,3,81.32,9,18
4,DD,TUMKUR,12312,11085,23397,10305,9780,20085,85.84,4,79.04,19,5
5,NA,CHIKODI,18933,15776,34709,15830,13939,29769,85.77,5,87.01,2,1
6,PP,UTTARA KANNADA,5040,5036,10076,4089,4540,8629,85.64,6,84.75,5,12
7,GG,MANGALORE,15532,15769,31301,12351,14330,26681,85.24,7,78.3,21,8
8,FF,MANDYA,12271,11903,24174,9977,10606,20583,85.15,8,85.53,3,3
9,BA,RAMNAGARA,6972,6779,13751,5692,5931,11623,84.52,9,77.23,26,19
10,MA,HAVERI,9285,9609,18894,7507,8283,15790,83.57,10,74.31,33,29
11,JJ,CHICKAMAGALUR,7137,7563,14700,5754,6523,12277,83.52,11,78.23,22,15
12,EE,MYSORE,18670,18692,37362,14828,16042,30870,82.62,12,79.79,16,26
13,HH,KODAGU,3656,3834,7490,2892,3289,6181,82.52,13,80.09,12,7
14,NN,BELGAUM,15663,14485,30148,12472,12407,24879,82.52,14,80.84,11,13
15,II,CHITRADURGA,11145,10656,21801,8933,8921,17854,81.9,15,79.58,17,15
16,OA,BAGALKOTE,12810,10354,23164,10183,8767,18950,81.81,16,82.81,7,6
17,IA,DAVANAGERE,11747,12050,23797,9307,10056,19363,81.37,17,80.01,14,27
18,BB,BANGALORE RURAL,6702,6383,13085,5243,5372,10615,81.12,18,87.43,1,2
19,KK,SHIMOGA,10743,11979,22722,8394,10005,18399,80.97,19,77.71,24,14
20,MM,DHARWAD,12566,12207,24773,9628,10194,19822,80.01,20,80.05,13,23
21,CC,KOLAR,10596,10213,20809,8067,8545,16612,79.83,21,81.46,8,30
22,MB,GADAG,7491,6477,13968,5663,5438,11101,79.47,22,75.97,27,33
23,RR,RAICHUR,10812,8507,19319,8265,7014,15279,79.09,23,77.79,23,24
24,AS,BANGALORE SOUTH,28233,28254,56487,20745,23549,44294,78.41,24,75.31,30,22
25,TT,BELLARY,14254,11953,26207,10824,9692,20516,78.28,25,75.5,29,21
26,RA,KOPPAL,8091,6983,15074,6250,5507,11757,78,26,78.42,20,31
27,AN,BANGALORE NORTH,23137,22189,45326,16954,18102,35056,77.34,27,79.98,15,11
28,EA,CHAMARAJANAGAR,5300,5446,10746,3882,4392,8274,77,28,79.34,18,20
29,DA,MADHUGIRI,7159,6928,14087,5285,5544,10829,76.87,29,74.59,31,17
30,QQ,GULBARGA,18290,15199,33489,12894,11558,24452,73.02,30,74.53,32,25
31,CA,CHIKKABALLAPUR,8492,7776,16268,6019,5849,11868,72.95,31,77.67,25,28
32,OO,BIJAPUR,16147,11619,27766,11054,8867,19921,71.75,32,80.88,10,16
33,QA,YADGIR,5750,3809,9559,3888,2783,6671,69.79,33,75.68,28,32
34,SS,BIDAR,10807,10344,21151,6552,6841,13393,63.32,34,53,34,34